NBa7we src,d4r55,RfnDt,rsqaWe,wiI7pd,RfDO5c,RfDO5c (2),w8nwRe,dSlJg,NlVald,dSlJg (2),NlVald (2),RfDO5c (3),RfDO5c (4),pkWtMe
https://lh3.googleusercontent.com/a-/ALV-UjX9UAiA4sdEw1z4j5vYySY4TUp60ut6hsMgGzP2KQVsnfJrzNvj=w72-h72-p-rp-mo-br100,Fran. L,2 則評論,7 個月前,珍奶非常好喝，復古的味道，而且價格非常實惠，還有300ml的小杯選擇，路過都會忍不住買一杯！重點是除了手搖飲還有賣義式咖啡，一個小店面滿足同行兩人要喝飲料跟喝咖啡的需求，超棒！,餐點：5…,餐點：,全文,,喜歡,,分享,,,
https://lh3.googleusercontent.com/a/ACg8ocLKHyUECJOM2Q7xfPh0UhGwL0gD1x0Ibj57_7EPWSz3aL5KMg=w72-h72-p-rp-mo-ba3-br100,謝閔皓,在地嚮導 · 49 則評論 · 29 張相片,2 年前,從小到大都很喜歡的飲料店，雖然看起來都是賣咖啡為主😂，好喝又便宜，到現在還能維持不漲價，老闆跟老闆娘太佛心啦！🥰 …,服務,,全文,,喜歡,,分享,,,
https://lh3.googleusercontent.com/a/ACg8ocLE3LYen3E3JIie3ZUS-7KD8XmDumvsGGpO83fZrMrPVm0NxA=w72-h72-p-rp-mo-ba3-br100,Evelyn,在地嚮導 · 32 則評論 · 62 張相片,1 年前,"學生時期的味道，20年都沒變，
藏身在鬧區的銅板飲料，大推奶茶系列，非常好喝👍👍 …",服務,,全文,,喜歡,,分享,,,
https://lh3.googleusercontent.com/a/ACg8ocIZqt1KXh1PRHICOVcD0m1DHxLMeP0_meCC9kPNewmfhcLWG4U=w72-h72-p-rp-mo-br100,Melanie Chang,13 則評論 · 4 張相片,10 個月前,"我同學以前在附近上班, 前幾天小巨蛋演唱會前專程帶我們繞過去買奶茶. 不喝奶茶的我, 很好奇讓我同學念念不忘的奶茶到底是什麼味道? 結果一試成主顧, 現在換成我下班之後就算不順路, 也要繞過去帶杯奶茶. 這家的熱微糖奶茶濃醇可口, 是幸福的味道.",,,全文,,喜歡,,分享,,,
https://lh3.googleusercontent.com/a/ACg8ocLRLaHHUI3GvLEZRyUn3XcoCEZECO7iR_klXTHLm5bnuZ2EDg=w72-h72-p-rp-mo-ba3-br100,Yuan Wang,在地嚮導 · 42 則評論 · 4 張相片,5 個月前,是傳統泡沫紅茶珍奶的味道👍🏼CP值高 …,餐點：5,餐點：,全文,,喜歡,,分享,服務：…,服務：,
https://lh3.googleusercontent.com/a/ACg8ocLdIW3LQaPbQJ90kpSZ2p_UK1bw6PtUi8Z69z1DzFeAQHlA2y57=w72-h72-p-rp-mo-ba5-br100,Evelyn Tung,在地嚮導 · 165 則評論 · 701 張相片,7 個月前,"咖啡冰沙+珍珠 超好喝
每次來都必點的隱藏菜單喔",服務,,全文,,喜歡,,分享,外帶…,,
https://lh3.googleusercontent.com/a/ACg8ocJkYoHet8qFB_7VuhmW9YNWmD1bQgILEC1CjI6sWr8lJM8pNg=w72-h72-p-rp-mo-br100,catgirl0926,9 則評論 · 2 張相片,11 個月前,奶茶好好喝，而且有小杯的選項，很適合隨手一杯解解饞,餐點：5,餐點：,,,喜歡,,分享,,,
https://lh3.googleusercontent.com/a-/ALV-UjWYo0Wac92gFIDJu-kZzMyHoyrVRUd0HObyryFtLsCMo5E3VGedsA=w72-h72-p-rp-mo-ba5-br100,陳思,在地嚮導 · 307 則評論 · 234 張相片,8 年前,"好喝實在
很棒的咖啡外帶店
巷弄飲料Cp值超高",,,,,,,分享,,,1
https://lh3.googleusercontent.com/a-/ALV-UjVYVSC2eSOhH3b9vzz9y5P7MaRMfUTtSFtPzxfHuO2gIitu64mz=w72-h72-p-rp-mo-ba2-br100,Bang H,在地嚮導 · 14 則評論 · 27 張相片,4 年前,在市場中很便利有人情味的飲料攤，環境也很整潔。冰美式是研磨義式咖啡再用雪克杯搖過，味道很均衡，推薦路過休息一下喝一杯。,,,,,喜歡,,分享,,,
https://lh3.googleusercontent.com/a-/ALV-UjVJKY01wSbVvH5oo3roT-IyKuDiY4pX4iaoTzOa44eKaxSfba0Y=w72-h72-p-rp-mo-br100,Ariel Sun,10 則評論 · 5 張相片,1 年前,珍珠奶茶便宜又好喝 老闆態度也很好☺️,服務,,全文,,喜歡,,分享,外帶…,,
